GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Secure NIO,io.github.rhusar.securenio.channels,SecureSocketChannel,101,218,23,15,29,64,17,24,4,18
Secure NIO,io.github.rhusar.securenio.channels,DelegatedTasks,22,40,2,6,8,13,2,3,0,1
Secure NIO,io.github.rhusar.securenio.channels,SecureDatagramChannel,79,259,15,17,20,77,12,30,2,24
Secure NIO,io.github.rhusar.securenio.channels,TLSByteChannel,80,455,29,68,28,120,24,40,0,10
Secure NIO,io.github.rhusar.securenio.channels,SecureServerSocketChannel,0,83,0,2,0,24,0,12,0,11
Secure NIO,io.github.rhusar.securenio.channels,DTLSByteChannel,101,404,35,57,33,103,31,30,0,11
Secure NIO,io.github.rhusar.securenio.channels.spi,DelegatingSelectorProvider,20,14,0,0,5,3,5,2,5,2
Secure NIO,io.github.rhusar.securenio.channels.spi,DelegatingSelector,26,73,0,6,6,20,4,12,4,9
